epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,18583.4,0.36564,0.20682,0.76739,0.98317,0.98088,0.99003,0.80509,0.77947,0.33533,0.79003,0.007492,0.007492,0.007492
78,18833.5,0.36749,0.20747,0.76809,0.98327,0.98088,0.99003,0.80518,0.77835,0.33484,0.78986,0.007459,0.007459,0.007459
79,19081.3,0.36593,0.20664,0.76682,0.9833,0.98077,0.99001,0.80559,0.7769,0.33465,0.7898,0.007426,0.007426,0.007426
80,19329.6,0.36416,0.20616,0.7684,0.98338,0.98077,0.99,0.80572,0.7761,0.33394,0.7898,0.007393,0.007393,0.007393
81,19571.6,0.36669,0.20695,0.76771,0.98332,0.98088,0.99002,0.80703,0.77284,0.33237,0.78971,0.00736,0.00736,0.00736
82,19806.4,0.3632,0.20526,0.76736,0.98316,0.98077,0.99004,0.80765,0.77038,0.33142,0.78962,0.007327,0.007327,0.007327
83,20044.1,0.36217,0.20478,0.7677,0.98111,0.98279,0.99,0.80911,0.76623,0.33091,0.78965,0.007294,0.007294,0.007294
84,20285.2,0.36074,0.20502,0.76642,0.98205,0.98196,0.98999,0.80903,0.76581,0.33111,0.78965,0.007261,0.007261,0.007261
85,20530,0.36157,0.20408,0.76718,0.98209,0.98184,0.99003,0.80773,0.77022,0.33135,0.78964,0.007228,0.007228,0.007228
86,20772.3,0.35952,0.20237,0.76765,0.98272,0.98141,0.99004,0.80724,0.77223,0.33188,0.78963,0.007195,0.007195,0.007195
87,21012.9,0.3598,0.20362,0.76731,0.98264,0.98141,0.99003,0.80697,0.77171,0.33118,0.78947,0.007162,0.007162,0.007162
88,21254.1,0.36107,0.20369,0.76781,0.98255,0.9813,0.99006,0.80726,0.77169,0.33097,0.7895,0.007129,0.007129,0.007129
89,21489.7,0.35868,0.20183,0.7679,0.98207,0.98141,0.99004,0.80771,0.76917,0.33023,0.78932,0.007096,0.007096,0.007096
90,21726.8,0.35764,0.20179,0.76704,0.98214,0.98143,0.99009,0.80761,0.77059,0.33052,0.78931,0.007063,0.007063,0.007063
91,21966.6,0.35413,0.20045,0.76681,0.9824,0.9812,0.99006,0.80804,0.77106,0.32962,0.78931,0.00703,0.00703,0.00703
92,22207.5,0.35717,0.2008,0.76694,0.98235,0.9812,0.99017,0.80727,0.77411,0.33012,0.78945,0.006997,0.006997,0.006997
93,22446.4,0.35586,0.20112,0.76762,0.98223,0.98109,0.99015,0.80785,0.7737,0.32964,0.78939,0.006964,0.006964,0.006964
94,22686.4,0.35384,0.19982,0.76726,0.98193,0.98151,0.99009,0.80813,0.77247,0.32961,0.78937,0.006931,0.006931,0.006931
95,22927.5,0.35227,0.19999,0.76664,0.98221,0.9813,0.99001,0.80898,0.76882,0.32888,0.78926,0.006898,0.006898,0.006898
96,23165.1,0.35194,0.19894,0.76746,0.98235,0.98128,0.99001,0.80856,0.76964,0.32891,0.78924,0.006865,0.006865,0.006865
97,23408,0.3511,0.19815,0.76765,0.98265,0.9813,0.99001,0.80867,0.77007,0.32958,0.78923,0.006832,0.006832,0.006832
98,23653.4,0.35184,0.19841,0.76705,0.98251,0.9812,0.99007,0.80876,0.76912,0.32899,0.78915,0.006799,0.006799,0.006799
99,23889.4,0.35153,0.19804,0.76731,0.98213,0.981,0.98996,0.80854,0.7698,0.32934,0.78922,0.006766,0.006766,0.006766
100,24123,0.35042,0.19789,0.76686,0.98224,0.9811,0.98998,0.80879,0.76767,0.32929,0.78931,0.006733,0.006733,0.006733
101,24356.2,0.35105,0.19753,0.76747,0.98214,0.9814,0.98994,0.80945,0.76504,0.32819,0.78927,0.0067,0.0067,0.0067
102,24592,0.35057,0.19785,0.76611,0.97798,0.98596,0.98992,0.80968,0.76341,0.32754,0.78922,0.006667,0.006667,0.006667
103,24829.1,0.34876,0.19605,0.76756,0.97818,0.9859,0.98998,0.81005,0.76193,0.32742,0.78926,0.006634,0.006634,0.006634
104,25065.1,0.3484,0.19585,0.76609,0.97788,0.98599,0.99005,0.81059,0.75864,0.32698,0.78914,0.006601,0.006601,0.006601
105,25299.4,0.34692,0.19502,0.76691,0.98248,0.98162,0.99005,0.81001,0.75775,0.3277,0.78939,0.006568,0.006568,0.006568
106,25535.2,0.34577,0.19454,0.7667,0.98256,0.98159,0.99009,0.81136,0.75302,0.32682,0.78936,0.006535,0.006535,0.006535
107,25769.8,0.34549,0.19481,0.76557,0.98249,0.98162,0.99021,0.81235,0.75008,0.32574,0.78922,0.006502,0.006502,0.006502
108,26002.5,0.34564,0.19416,0.76604,0.98205,0.98215,0.99028,0.81388,0.74678,0.32456,0.78914,0.006469,0.006469,0.006469
109,26237.7,0.34421,0.19388,0.76523,0.98257,0.98211,0.99034,0.81343,0.7479,0.32485,0.78906,0.006436,0.006436,0.006436
110,26471.4,0.34631,0.19576,0.76681,0.98216,0.98261,0.99037,0.813,0.74928,0.32363,0.78891,0.006403,0.006403,0.006403
111,26704.4,0.34522,0.19401,0.76658,0.98165,0.98296,0.99048,0.81283,0.74998,0.32333,0.78896,0.00637,0.00637,0.00637
112,26937.4,0.34135,0.1923,0.76627,0.98166,0.98363,0.99057,0.81243,0.75011,0.32315,0.78887,0.006337,0.006337,0.006337
113,27170.5,0.34263,0.19347,0.76534,0.98025,0.98502,0.99062,0.81346,0.74883,0.32277,0.78864,0.006304,0.006304,0.006304
114,27411.1,0.34068,0.19138,0.76657,0.98125,0.98417,0.99071,0.81305,0.74965,0.32279,0.78869,0.006271,0.006271,0.006271
115,27652.3,0.34154,0.19256,0.76585,0.98167,0.98403,0.99077,0.8122,0.75024,0.32272,0.78862,0.006238,0.006238,0.006238
116,27895.2,0.34129,0.19184,0.76684,0.98133,0.98407,0.99083,0.81259,0.75184,0.32338,0.78863,0.006205,0.006205,0.006205
117,28138.7,0.33892,0.19122,0.76732,0.98014,0.98576,0.99089,0.81272,0.75126,0.32278,0.78854,0.006172,0.006172,0.006172
118,28378.2,0.33722,0.18978,0.76694,0.98185,0.98428,0.99094,0.81172,0.75314,0.32288,0.78851,0.006139,0.006139,0.006139
119,28612.3,0.33832,0.18959,0.76584,0.98178,0.98436,0.99091,0.81137,0.75584,0.3236,0.7884,0.006106,0.006106,0.006106
120,28845.5,0.33891,0.19068,0.76589,0.9822,0.98385,0.99093,0.81097,0.75631,0.32393,0.78838,0.006073,0.006073,0.006073
121,29079.2,0.33864,0.19015,0.76526,0.9827,0.9837,0.991,0.81237,0.75181,0.32199,0.78814,0.00604,0.00604,0.00604
122,29312.9,0.33895,0.19,0.76606,0.9825,0.98409,0.99108,0.81187,0.75128,0.32223,0.7881,0.006007,0.006007,0.006007
123,29544.6,0.33712,0.18903,0.76606,0.9824,0.98418,0.99109,0.81159,0.75247,0.32257,0.78806,0.005974,0.005974,0.005974
124,29776.9,0.33558,0.18837,0.76657,0.98271,0.98387,0.99109,0.81114,0.75543,0.32259,0.78816,0.005941,0.005941,0.005941
125,30010.9,0.33796,0.18961,0.76638,0.98291,0.98384,0.99114,0.81063,0.75693,0.32372,0.7882,0.005908,0.005908,0.005908
126,30244.9,0.33523,0.18917,0.76586,0.98312,0.98367,0.99118,0.81183,0.75395,0.32304,0.78816,0.005875,0.005875,0.005875
127,30477.3,0.33424,0.18759,0.7663,0.98356,0.98343,0.99121,0.81215,0.75364,0.32215,0.78803,0.005842,0.005842,0.005842
128,30712.7,0.33411,0.18668,0.76653,0.98203,0.98481,0.99117,0.81275,0.75223,0.32137,0.78793,0.005809,0.005809,0.005809
129,30948.7,0.33252,0.18636,0.76608,0.98067,0.9861,0.99113,0.81202,0.7519,0.32145,0.78781,0.005776,0.005776,0.005776
130,31183.7,0.33545,0.18774,0.76592,0.98226,0.98492,0.9911,0.81211,0.75033,0.32086,0.78775,0.005743,0.005743,0.005743
131,31422.1,0.33394,0.18732,0.76493,0.98186,0.98566,0.99106,0.81152,0.75229,0.32091,0.78772,0.00571,0.00571,0.00571
132,31655.4,0.33143,0.1861,0.76554,0.98203,0.98598,0.99111,0.81133,0.75199,0.32033,0.78752,0.005677,0.005677,0.005677
133,31889.5,0.3305,0.18582,0.76523,0.98202,0.98612,0.99112,0.8116,0.75049,0.31974,0.78747,0.005644,0.005644,0.005644
134,32123.7,0.32981,0.18507,0.76674,0.98201,0.98592,0.99119,0.81174,0.7501,0.31933,0.78731,0.005611,0.005611,0.005611
135,32357.3,0.3304,0.18499,0.76593,0.9821,0.98587,0.99124,0.81228,0.7502,0.31916,0.78722,0.005578,0.005578,0.005578
136,32591.9,0.32926,0.18398,0.76631,0.98295,0.98571,0.99127,0.81124,0.75338,0.3195,0.78731,0.005545,0.005545,0.005545
137,32834.8,0.3298,0.18485,0.76555,0.98316,0.9858,0.99128,0.81058,0.75352,0.31966,0.78737,0.005512,0.005512,0.005512
138,33089.2,0.32864,0.18423,0.76624,0.98286,0.98577,0.99133,0.81186,0.75062,0.31873,0.78744,0.005479,0.005479,0.005479
